i t ke
191 3.18571 2.16675e-07
192 3.2 2.16862e-07
193 3.21429 2.18249e-07
194 3.22857 2.19452e-07
195 3.24286 2.21114e-07
196 3.25714 2.22210e-07
197 3.27143 2.23125e-07
198 3.28571 2.24026e-07
199 3.3 2.25581e-07
200 3.31429 2.27507e-07
201 3.32857 2.29273e-07
202 3.34286 2.29754e-07
203 3.35714 2.31036e-07
204 3.37143 2.33088e-07
205 3.38571 2.34585e-07
206 3.4 2.36091e-07
207 3.41429 2.38077e-07
208 3.42857 2.38600e-07
209 3.44286 2.40439e-07
210 3.45714 2.42189e-07
211 3.47143 2.43976e-07
212 3.48571 2.45671e-07
213 3.5 2.47324e-07
214 3.51429 2.48885e-07
215 3.52857 2.50891e-07
216 3.54286 2.52796e-07
217 3.55714 2.55272e-07
218 3.57143 2.56894e-07
219 3.58571 2.57714e-07
220 3.6 2.59597e-07
221 3.61429 2.62216e-07
222 3.62857 2.64521e-07
223 3.64286 2.66478e-07
224 3.65714 2.68346e-07
225 3.67143 2.69459e-07
226 3.68571 2.72418e-07
227 3.7 2.74804e-07
228 3.71429 2.76391e-07
229 3.72857 2.78603e-07
230 3.74286 2.81418e-07
231 3.75714 2.83216e-07
232 3.77143 2.84998e-07
233 3.78571 2.87131e-07
234 3.8 2.89084e-07
235 3.81429 2.91678e-07
236 3.82857 2.94247e-07
237 3.84286 2.96365e-07
238 3.85714 2.98301e-07
239 3.87143 3.00540e-07
240 3.88571 3.03148e-07
241 3.9 3.05313e-07
242 3.91429 3.07863e-07
243 3.92857 3.11159e-07
244 3.94286 3.13265e-07
245 3.95714 3.14542e-07
246 3.97143 3.17741e-07
247 3.98571 3.21114e-07
248 4 3.22648e-07
249 4.01429 3.25477e-07
250 4.02857 3.27493e-07
251 4.04286 3.30496e-07
252 4.05714 3.32635e-07
253 4.07143 3.34952e-07
254 4.08571 3.37196e-07
255 4.1 3.40060e-07
256 4.11429 3.43470e-07
257 4.12857 3.46356e-07
258 4.14286 3.48629e-07
259 4.15714 3.51874e-07
260 4.17143 3.54827e-07
261 4.18571 3.57448e-07
262 4.2 3.59810e-07
263 4.21429 3.62671e-07
264 4.22857 3.65925e-07
265 4.24286 3.68729e-07
266 4.25714 3.71835e-07
267 4.27143 3.74902e-07
268 4.28571 3.78577e-07
269 4.3 3.81584e-07
270 4.31429 3.84222e-07
271 4.32857 3.87746e-07
272 4.34286 3.91592e-07
273 4.35714 3.94670e-07
274 4.37143 3.98005e-07
275 4.38571 4.01167e-07
276 4.4 4.04932e-07
277 4.41429 4.08064e-07
278 4.42857 4.11550e-07
279 4.44286 4.15649e-07
280 4.45714 4.19269e-07
281 4.47143 4.23447e-07
282 4.48571 4.26961e-07
283 4.5 4.31089e-07
284 4.51429 4.35463e-07
285 4.52857 4.38782e-07
286 4.54286 4.42879e-07
287 4.55714 4.48292e-07
288 4.57143 4.51582e-07
289 4.58571 4.56872e-07
290 4.6 4.60624e-07
291 4.61429 4.65059e-07
292 4.62857 4.69418e-07
293 4.64286 4.74207e-07
294 4.65714 4.79293e-07
295 4.67143 4.84486e-07
296 4.68571 4.89380e-07
297 4.7 4.94828e-07
298 4.71429 5.00040e-07
299 4.72857 5.05440e-07
300 4.74286 5.10174e-07
301 4.75714 5.15787e-07
302 4.77143 5.22241e-07
303 4.78571 5.28029e-07
304 4.8 5.33952e-07
305 4.81429 5.40115e-07
306 4.82857 5.45956e-07
307 4.84286 5.53097e-07
308 4.85714 5.60310e-07
309 4.87143 5.67196e-07
310 4.88571 5.74949e-07
311 4.9 5.81657e-07
312 4.91429 5.88669e-07
313 4.92857 5.97562e-07
314 4.94286 6.05744e-07
315 4.95714 6.14352e-07
316 4.97143 6.22949e-07
317 4.98571 6.31786e-07
318 5 6.41107e-07
319 5.01429 6.50780e-07
320 5.02857 6.60123e-07
321 5.04286 6.70451e-07
322 5.05714 6.80906e-07
323 5.07143 6.92646e-07
324 5.08571 7.04358e-07
325 5.1 7.15869e-07
326 5.11429 7.29206e-07
327 5.12857 7.41963e-07
328 5.14286 7.55282e-07
329 5.15714 7.69419e-07
330 5.17143 7.85972e-07
331 5.18571 8.02990e-07
332 5.2 8.20268e-07
333 5.21429 8.38221e-07
334 5.22857 8.58128e-07
335 5.24286 8.77364e-07
336 5.25714 9.00069e-07
337 5.27143 9.24032e-07
338 5.28571 9.47234e-07
339 5.3 9.74353e-07
340 5.31429 1.00200e-06
341 5.32857 1.03151e-06
342 5.34286 1.06437e-06
343 5.35714 1.09866e-06
344 5.37143 1.13728e-06
345 5.38571 1.18037e-06
346 5.4 1.22674e-06
347 5.41429 1.27745e-06
348 5.42857 1.33464e-06
349 5.44286 1.39443e-06
350 5.45714 1.46539e-06
351 5.47143 1.54416e-06
352 5.48571 1.63341e-06
353 5.5 1.73610e-06
354 5.51429 1.85491e-06
355 5.52857 1.99092e-06
356 5.54286 2.15233e-06
357 5.55714 2.34431e-06
358 5.57143 2.57253e-06
359 5.58571 2.84607e-06
360 5.6 3.18194e-06
361 5.61429 3.60450e-06
362 5.62857 4.13845e-06
363 5.64286 4.82455e-06
364 5.65714 5.13107e-06
365 5.67143 5.83371e-06
366 5.68571 6.98709e-06
367 5.7 8.31937e-06
368 5.71429 1.03912e-05
369 5.72857 1.35356e-05
370 5.74286 1.86468e-05
371 5.75714 2.70254e-05
372 5.77143 4.26821e-05
373 5.78571 7.10119e-05
374 5.8 1.36637e-04
375 5.81429 1.89004e-04
376 5.82857 9.44990e-05
377 5.84286 4.57327e-05
378 5.85714 1.12347e-04
379 5.87143 1.15938e-04
380 5.88571 1.12474e-04
381 5.9 6.53240e-05
382 5.91429 6.45094e-05
383 5.92857 1.98965e-04
384 5.94286 2.59634e-04
385 5.95714 8.85696e-05
386 5.97143 7.42338e-05
387 5.98571 9.93084e-05
388 6 1.97698e-04
389 6.01429 1.96399e-04
390 6.02857 1.65206e-04
391 6.04286 2.30804e-04
392 6.05714 3.50313e-04
393 6.07143 2.15657e-04
394 6.08571 1.48894e-04
395 6.1 1.59930e-04
396 6.11429 2.66803e-04
397 6.12857 3.00545e-04
398 6.14286 1.83343e-04
399 6.15714 1.87173e-04
400 6.17143 2.48830e-04
401 6.18571 2.32799e-04
402 6.2 1.77191e-04
403 6.21429 2.20181e-04
404 6.22857 4.37188e-04
405 6.24286 3.22366e-04
406 6.25714 2.19400e-04
407 6.27143 2.25564e-04
408 6.28571 2.83786e-04
409 6.3 2.67262e-04
410 6.31429 2.10112e-04
411 6.32857 2.35439e-04
412 6.34286 3.66208e-04
413 6.35714 3.66735e-04
414 6.37143 2.49972e-04
415 6.38571 2.55764e-04
416 6.4 3.11383e-04
417 6.41429 2.94531e-04
418 6.42857 2.38848e-04
419 6.44286 2.63813e-04
420 6.45714 3.61042e-04
421 6.47143 4.26979e-04
422 6.48571 4.32980e-04
423 6.5 3.31763e-04
424 6.51429 3.97172e-04
425 6.52857 4.40046e-04
426 6.54286 3.30507e-04
427 6.55714 3.91436e-04
428 6.57143 3.70688e-04
429 6.58571 3.89636e-04
430 6.6 4.01618e-04
431 6.61429 4.05607e-04
432 6.62857 3.99048e-04
433 6.64286 4.15312e-04
434 6.65714 4.10086e-04
435 6.67143 4.39387e-04
436 6.68571 4.27880e-04
437 6.7 4.36953e-04
438 6.71429 4.35297e-04
439 6.72857 4.67688e-04
440 6.74286 4.53883e-04
441 6.75714 4.59350e-04
442 6.77143 4.56917e-04
443 6.78571 4.94476e-04
444 6.8 4.77466e-04
445 6.81429 4.80484e-04
446 6.82857 4.76320e-04
447 6.84286 5.17563e-04
448 6.85714 4.98997e-04
449 6.87143 5.00302e-04
450 6.88571 4.93983e-04
451 6.9 5.38475e-04
452 6.91429 5.18995e-04
453 6.92857 5.18923e-04
454 6.94286 5.10268e-04
455 6.95714 5.56162e-04
456 6.97143 5.38956e-04
457 6.98571 5.36654e-04
458 7 5.25330e-04
459 7.01429 5.70252e-04
460 7.02857 5.18697e-04
461 7.04286 5.35154e-04
462 7.05714 5.27595e-04
463 7.07143 5.66864e-04
464 7.08571 5.72264e-04
465 7.1 5.63129e-04
466 7.11429 5.43828e-04
467 7.12857 5.88597e-04
468 7.14286 5.41742e-04
469 7.15714 5.61534e-04
470 7.17143 5.46566e-04
471 7.18571 6.07234e-04
472 7.2 5.50093e-04
473 7.21429 5.30280e-04
474 7.22857 5.30707e-04
475 7.24286 5.17220e-04
476 7.25714 4.98811e-04
477 7.27143 5.56976e-04
478 7.28571 5.34787e-04
479 7.3 5.13086e-04
480 7.31429 5.09777e-04
481 7.32857 6.22319e-04
482 7.34286 5.12525e-04
483 7.35714 4.92873e-04
484 7.37143 4.98486e-04
485 7.38571 5.32401e-04
486 7.4 5.37374e-04
487 7.41429 5.03060e-04
488 7.42857 5.00422e-04
489 7.44286 4.97441e-04
490 7.45714 4.71776e-04
491 7.47143 4.70754e-04
492 7.48571 4.97830e-04
493 7.5 5.02421e-04
494 7.51429 4.67835e-04
495 7.52857 4.57085e-04
496 7.54286 4.87644e-04
497 7.55714 4.08450e-04
498 7.57143 4.27940e-04
499 7.58571 4.31725e-04
500 7.6 4.64693e-04
501 7.61429 3.85516e-04
502 7.62857 4.19628e-04
503 7.64286 4.11360e-04
504 7.65714 4.46108e-04
505 7.67143 3.67548e-04
506 7.68571 4.12602e-04
507 7.7 3.95926e-04
508 7.71429 3.40861e-04
509 7.72857 3.12767e-04
510 7.74286 4.69497e-04
511 7.75714 4.09868e-04
512 7.77143 3.35744e-04
513 7.78571 3.05064e-04
514 7.8 3.26145e-04
515 7.81429 3.63625e-04
516 7.82857 3.06906e-04
517 7.84286 2.91622e-04
518 7.85714 4.90117e-04
519 7.87143 3.84840e-04
520 7.88571 3.74561e-04
521 7.9 4.53480e-04
522 7.91429 4.81871e-04
523 7.92857 3.98067e-04
524 7.94286 3.18414e-04
525 7.95714 2.95529e-04
526 7.97143 2.69024e-04
527 7.98571 2.54204e-04
528 8 3.88404e-04
529 8.01429 4.52615e-04
530 8.02857 4.77081e-04
531 8.04286 3.29772e-04
532 8.05714 3.18854e-04
533 8.07143 3.54775e-04
534 8.08571 3.96752e-04
535 8.1 4.09550e-04
536 8.11429 2.69883e-04
537 8.12857 3.34311e-04
538 8.14286 4.33653e-04
539 8.15714 2.56672e-04
540 8.17143 2.56499e-04
541 8.18571 2.80194e-04
542 8.2 4.11017e-04
543 8.21429 4.16098e-04
544 8.22857 3.32115e-04
545 8.24286 2.30053e-04
546 8.25714 3.02862e-04
547 8.27143 2.25837e-04
548 8.28571 2.25619e-04
549 8.3 3.96698e-04
550 8.31429 4.63198e-04
551 8.32857 2.38800e-04
552 8.34286 1.93697e-04
553 8.35714 1.81991e-04
554 8.37143 2.59202e-04
555 8.38571 2.43300e-04
556 8.4 1.89781e-04
557 8.41429 1.68634e-04
558 8.42857 2.33552e-04
559 8.44286 1.82782e-04
560 8.45714 1.62894e-04
561 8.47143 1.51461e-04
562 8.48571 2.37440e-04
563 8.5 1.75257e-04
564 8.51429 1.52812e-04
565 8.52857 1.42349e-04
566 8.54286 2.30080e-04
567 8.55714 1.68161e-04
568 8.57143 2.92391e-04
569 8.58571 1.83885e-04
570 8.6 2.41921e-04
